"Detect language","English","intricately","intricately"
"English","English","ameliorate","ameliorate"
"English","English","perturbation","perturbation"
"English","English","permeability","permeability"
"English","English","pertain","pertain"
"English","English","industriousness","industriousness"
"English","English","conscientiousness","conscientiousness"
"English","English","unfathomable","unfathomable"
"English","English","ablation","ablation"
"English","English","preclude","preclude"
"English","English","attenuation","attenuation"
"English","English","incur","incur"
"English","English","sound","sound"
"English","English","dearth","dearth"
"English","English","spanning","spanning"
"English","English","transduce","to cause energy to change from one form to another"
"English","English","regimented","regimented"
"English","English","surmised","surmised"
"Detect language","English","ostensibly","ostensibly"
"English","English","quiescent","quiescent"
"English","English","pursuant","pursuant"
"English","English","administration","administration"
"English","English","conformation","conformation"
"English","English","bodily","bodily"
"English","English","residual","residual"
"English","English","discrepancy","discrepancy"
"Detect language","English","plummeting","plummeting"
"Detect language","English","confounds","confounds"
"Detect language","English","supplanting","supplanting"
"English","English","herald","herald"
"English","English","recession","recession"
"English","English","acumen","acumen"
"English","English","tenacity","tenacity"
"English","English","predecessor","predecessor"
"English","English","disavows","disavows"
"English","English","mashup","mashup"
"English","English","coalesced","coalesced"
"English","English","interspersed","interspersed"
"English","English","tantamount","tantamount"
"English","English","deterring","deterring"
"English","English","serpent","serpent"
"English","English","eclectic","eclectic"
"English","English","spat","spat"
"English","English","saint","saint"
"English","English","inherently","inherently"
"English","English","heretical","heretical"
"English","English","parse","parse"
"English","English","copulation","copulation"
"English","English","conundrum","conundrum"
"English","English","inference","inference"
"English","English","Dissuade","Dissuade"
"English","English","seminal","seminal"
"English","English","afflict","afflict"
"English","English","aggregate","aggregate"
"English","English","dejected,","dejected,"
"English","English","allay","allay"
"English","English","striven","striven"
"English","English","retrograde","retrograde"
"English","English","seclusion","seclusion"
"English","English","persecution","persecution"
"English","English","bereft","bereft"
"English","English","repent","repent"
"English","English","indenture","indenture"
"English","English","aspersion","aspersion"
"English","English","deviation?","deviation?"
"English","English","vitriol","vitriol"
"English","English","iconoclasm","iconoclasm"
"English","English","divesting","divesting"
"English","English","compunction","compunction"
"English","English","naysayer","naysayer"
"English","English","instigator","instigator"
"English","English","impasse","impasse"
"English","English","resounding","resounding"
"English","English","stigmatization","stigmatization"
"English","English","squint","squint"
"English","English","doxxed","doxxed"
"English","English","disenfranchising","disenfranchising"
"English","English","contends","contends"
"English","English","profiteering","profiteering"
"English","English","prattle","prattle"
"English","English","chirp","chirp"
"English","English","quicksand","quicksand"
"English","English","contemplated","contemplated"
"English","English","curbing","curbing"
"English","English","straying","straying"
"English","English","subverts","subverts"
"English","English","err","err"
"English","English","hapless","hapless"
"English","English","undermines","undermines"
"English","English","ambivalent","ambivalent"
"English","English","obstinately","obstinately"
"English","English","spade","spade"
"English","English","assortative","assortative"
"English","English","assortive","assortive"
"English","English","soiling","soiling"
"English","English","demeanor","demeanor"
"English","English","congregation","congregation"
"English","English","belay","belay"
"English","English","insatiable","insatiable"
"English","English","unused","unused"
"English","English","identifiable","identifiable"
"English","English","boasting","boasting"
"English","English","muster.","muster."
"English","English","frailty","frailty"
"English","English","substantively","substantively"
"English","English","defy","defy"
"English","English","lot","lot"
"English","English","subservience","subservience"
"English","English","contention","contention"
"English","English","exasperated","exasperated"
"English","English","untenable","untenable"
"English","English","proclivities","proclivities"
"English","English","legitimacy","legitimacy"
"English","English","dissect","dissect"
"English","English","impenetrability","impenetrability"
"English","English","willful","willful"
"English","English","propels","propels"
"English","English","debilitation","debilitation"
"English","English","coo","coo"
"English","English","epistemological","epistemological"
"English","English","nail","nail"
"English","English","tandem","tandem"
"English","English","specificity","specificity"
"English","English","countermand","countermand"
"English","English","symbiosis","symbiosis"
